ID,EMB
1,0.9041396
2,0.33876973
3,0.5757801
4,0.18279856
5,0.19669493
6,0.5757801
7,0.9452476
8,0.8749195
9,0.9822061
10,0.1931632
11,0.9011103
12,0.13892825
13,0.5849768
14,0.8831211
15,0.89754623
16,0.86053705
17,0.9903645
18,0.2837325
19,0.41370636
20,0.9367042
21,0.94259244
22,0.18279856
23,0.36866546
24,0.9923273
25,0.7617059
26,0.96877664
27,0.98563355
28,0.97321135
29,0.989979
30,0.5311917
31,0.98628056
32,0.9433937
33,0.6149678
34,0.14711179
35,0.2518542
36,0.98661405
37,0.9452476
38,0.7339842
39,0.19669493
40,0.9870301
41,0.58856875
42,0.31396723
43,0.13065615
44,0.99785244
45,0.76505977
46,0.60236615
47,0.6081457
48,0.18279856
49,0.20703967
50,0.48276314
51,0.99423474
52,0.88405913
53,0.734357
54,0.03939561
55,0.9814233
56,0.10525501
57,0.98628056
58,0.9225073
59,0.3977434
60,0.039442964
61,0.45313314
62,0.90622574
63,0.6276885
64,0.9143866
65,0.9947944
66,0.7572808
67,0.61441255
68,0.98661405
69,0.036067907
70,0.13773422
71,0.45307866
72,0.9807194
73,0.74362785
74,0.15492803
75,0.99093795
76,0.13584113
77,0.734357
78,0.7226582
79,0.328812
80,0.98949426
81,0.9925533
82,0.95027494
83,0.25346008
84,0.98521715
85,0.72513825
86,0.9931304
87,0.43181565
88,0.21742408
89,0.9918623
90,0.5886796
91,0.9916107
92,0.29772368
93,0.18263881
94,0.6010946
95,0.11249527
96,0.20845488
103,0.20633687
123,0.33348393
126,0.3479087
131,0.3479087
132,0.0804542
144,0.5287121
145,0.811595
146,0.7249396
147,0.97714907
148,0.89305335
149,0.3763049
150,0.8209468
151,0.93583333
152,0.99734193
153,0.9991279
154,0.3763049
155,0.9991279
156,0.9853158
157,0.6490321
158,0.5471376
159,0.44440386
160,0.9599603
161,0.7108056
162,0.22949691
163,0.12665755
164,0.993171
165,0.755972
166,0.088554606
167,0.46125293
168,0.35364953
169,0.4603989
170,0.22949691
171,0.356183
172,0.15309903
173,0.7482204
175,0.33504626
181,0.0804542
183,0.47007453
184,0.29895034
185,0.22949691
186,0.7249396
187,0.20097251
188,0.984695
189,0.9962017
190,0.755972
191,0.7249396
192,0.9495452
193,0.5877514
194,0.5877514
195,0.99800247
196,0.510285
197,0.85396016
198,0.97081435
199,0.9950665
200,0.12351693
201,0.9936237
202,0.6712263
203,0.9957338
204,0.97081435
205,0.9987269
206,0.9972819
207,0.9984365
208,0.31439692
209,0.9943236
210,0.9936515
211,0.9943236
212,0.7354565
213,0.5812541
214,0.9916005
215,0.9317483
216,0.99246985
217,0.13394617
218,0.81450087
219,0.98255104
220,0.9990152
221,0.18421431
222,0.35860768
223,0.919643
224,0.9856441
225,0.9989644
226,0.99862087
227,0.7207888
228,0.9901157
229,0.9991279
230,0.9956037
231,0.980992
232,0.9167752
233,0.9991391
234,0.67956555
235,0.8468403
236,0.9948021
237,0.9990403
238,0.81450087
239,0.9725266
240,0.99626356
241,0.9962017
242,0.9925471
243,0.9972873
244,0.98775685
245,0.9925471
246,0.98556966
247,0.9589655
248,0.99721587
249,0.9987154
250,0.9928596
251,0.8448271
252,0.9868377
253,0.9991279
254,0.9990594
255,0.9928596
256,0.29682964
257,0.8802295
258,0.3557465
259,0.9811002
260,0.9941612
261,0.9936166
262,0.9746508
263,0.38365874
264,0.99845946
265,0.9987336
266,0.998338
267,0.99913836
268,0.99915755
269,0.9981501
270,0.32618517
271,0.99640864
272,0.9589655
