Model,Drug,Accuracy,Precision,Recall,rocauc
SLE_results(PCA),AMK,0.9736070381231672,0.9726443768996961,1.0,0.9483630952380951
SLE_results(SMOTE),AMK,0.9736070381231672,0.9726443768996961,1.0,0.840625
SLE_results(column_modified),AMK,0.9736070381231672,0.9726443768996961,1.0,0.9229166666666667
SVM_results(PCA),AMK,0.9736070381231672,0.9726443768996961,1.0,0.8760416666666667
SVM_results(SMOTE),AMK,0.9736070381231672,0.9726443768996961,1.0,0.8511904761904762
SVM_results(column_modified),AMK,0.9736070381231672,0.9726443768996961,1.0,0.9194940476190477
XGBoost_results(PCA),AMK,0.9530791788856305,0.9550898203592815,0.996875,0.9418154761904761
XGBoost_results(SMOTE),AMK,0.9736070381231672,0.9726443768996961,1.0,0.7906994047619047
XGBoost_results(column_modified),AMK,0.9736070381231672,0.9726443768996961,1.0,0.8033482142857143
logistic_regression_results(PCA),AMK,0.967741935483871,0.9667673716012085,1.0,0.796577380952381
logistic_regression_results(SMOTE),AMK,0.9706744868035191,0.9696969696969697,1.0,0.8212797619047618
logistic_regression_results(column_modified),AMK,0.967741935483871,0.9667673716012085,1.0,0.8581845238095238
SLE_results(PCA),CAP,0.9401197604790419,0.9468302658486708,0.9914346895074947,0.7981798715203426
SLE_results(SMOTE),CAP,0.9321357285429142,0.9373737373737374,0.9935760171306209,0.8059894193223327
SLE_results(column_modified),CAP,0.93812375249501,0.9448979591836735,0.9914346895074947,0.8136730066759037
SVM_results(PCA),CAP,0.9421157684630739,0.9506172839506173,0.9892933618843683,0.8275286560020154
SVM_results(SMOTE),CAP,0.9401197604790419,0.9468302658486708,0.9914346895074947,0.822553218289457
SVM_results(column_modified),CAP,0.9401197604790419,0.9486652977412731,0.9892933618843683,0.817073938783222
XGBoost_results(PCA),CAP,0.9121756487025948,0.9307535641547862,0.9785867237687366,0.7061342738380149
XGBoost_results(SMOTE),CAP,0.936127744510978,0.935871743486974,1.0,0.8021161355334424
XGBoost_results(column_modified),CAP,0.9321357285429142,0.9321357285429142,1.0,0.7630998866355965
logistic_regression_results(PCA),CAP,0.9041916167664671,0.9544468546637744,0.9421841541755889,0.7668787000881723
logistic_regression_results(SMOTE),CAP,0.93812375249501,0.9504132231404959,0.9850107066381156,0.8231200403073435
logistic_regression_results(column_modified),CAP,0.93812375249501,0.9504132231404959,0.9850107066381156,0.8188373850610909
SLE_results(PCA),EMB,0.8928950159066809,0.9038004750593824,0.9743918053777209,0.9353274529330867
SLE_results(SMOTE),EMB,0.9045599151643691,0.9335006273525721,0.9526248399487837,0.9390106068509825
SLE_results(column_modified),EMB,0.8992576882290562,0.8997668997668997,0.9884763124199744,0.938204422946207
SVM_results(PCA),EMB,0.9077412513255567,0.9273399014778325,0.9641485275288092,0.9398405020470749
SVM_results(SMOTE),EMB,0.9130434782608695,0.9440914866581956,0.9513444302176697,0.9412078531796843
SVM_results(column_modified),EMB,0.9003181336161188,0.9235511713933415,0.9590268886043534,0.9365011618532745
XGBoost_results(PCA),EMB,0.8748674443266172,0.8904593639575972,0.967989756722151,0.919029892034587
XGBoost_results(SMOTE),EMB,0.9066808059384942,0.9470967741935484,0.939820742637644,0.9369556282701823
